socks4://72.195.114.169:4145  # response: 761.47ms
socks4://72.195.34.60:27391  # response: 1061.13ms
socks4://72.195.114.184:4145  # response: 1018.51ms
socks4://74.119.144.60:4145  # response: 868.78ms
socks4://74.119.147.209:4145  # response: 925.3ms
socks4://85.237.62.189:3629  # response: 3644.99ms
socks4://98.175.31.195:4145  # response: 763.93ms
socks4://104.37.135.145:4145  # response: 779.12ms
socks4://104.200.152.30:4145  # response: 1060.02ms
socks4://107.152.98.5:4145  # response: 1081.87ms
socks4://107.181.161.81:4145  # response: 759.54ms
socks4://107.181.168.145:4145  # response: 983.94ms
socks4://122.252.179.66:5678  # response: 4533.83ms
socks4://142.54.226.214:4145  # response: 986.58ms
socks4://142.54.228.193:4145  # response: 1022.65ms
socks4://142.54.229.249:4145  # response: 1090.61ms
socks4://142.54.231.38:4145  # response: 915.59ms
socks4://142.54.236.97:4145  # response: 833.19ms
socks4://142.54.232.6:4145  # response: 1099.78ms
socks4://174.64.199.82:4145  # response: 864.85ms
socks4://181.129.74.58:30431  # response: 832.73ms
socks4://181.143.21.146:4153  # response: 3791.49ms
socks4://184.170.245.148:4145  # response: 3688.26ms
socks4://184.181.217.220:4145  # response: 1982.23ms
socks4://184.170.249.65:4145  # response: 3693.0ms
socks4://184.178.172.13:15311  # response: 3795.14ms
socks4://184.178.172.11:4145  # response: 4060.46ms
socks4://184.178.172.28:15294  # response: 4073.75ms
socks4://185.86.5.162:8975  # response: 4221.5ms
socks4://184.170.248.5:4145  # response: 7774.3ms
socks4://192.111.129.145:16894  # response: 947.68ms
socks4://192.111.130.2:4145  # response: 1076.75ms
socks4://192.111.130.5:17002  # response: 1159.67ms
socks4://192.111.135.17:18302  # response: 973.03ms
socks4://192.111.137.35:4145  # response: 698.8ms
socks4://192.111.135.18:18301  # response: 881.53ms
socks4://192.111.137.34:18765  # response: 935.03ms
socks4://192.111.139.162:4145  # response: 694.93ms
socks4://192.111.137.37:18762  # response: 762.76ms
socks4://192.111.139.163:19404  # response: 714.99ms
socks4://192.111.139.165:4145  # response: 894.56ms
socks4://192.252.208.70:14282  # response: 714.0ms
socks4://192.252.214.20:15864  # response: 683.14ms
socks4://192.252.215.5:16137  # response: 702.36ms
socks4://192.252.211.197:14921  # response: 1173.92ms
socks4://192.252.220.92:17328  # response: 1039.29ms
socks4://198.8.84.3:4145  # response: 768.77ms
socks4://198.8.94.170:4145  # response: 734.71ms
socks4://199.58.184.97:4145  # response: 672.42ms
socks4://199.58.185.9:4145  # response: 677.86ms
socks4://198.8.94.174:39078  # response: 940.85ms
socks4://197.232.43.224:1080  # response: 4279.0ms
socks4://199.102.106.94:4145  # response: 793.91ms
socks4://199.102.104.70:4145  # response: 1029.26ms
socks4://199.102.107.145:4145  # response: 772.54ms
socks4://199.102.105.242:4145  # response: 1100.4ms
socks4://199.116.114.11:4145  # response: 1058.24ms
socks4://201.234.24.89:4153  # response: 4162.87ms
socks4://206.220.175.2:4145  # response: 767.98ms
socks4://213.7.196.26:4153  # response: 630.63ms
http://35.197.89.213:80  # response: 423.93ms
http://41.191.203.161:80  # response: 937.91ms
http://41.191.203.160:80  # response: 2037.8ms
http://41.191.203.162:80  # response: 952.53ms
http://41.191.203.163:80  # response: 973.55ms
http://41.191.203.164:80  # response: 946.96ms
http://41.191.203.167:80  # response: 952.17ms
http://59.7.246.4:80  # response: 1092.19ms
http://89.58.55.33:80  # response: 440.81ms
http://138.68.60.8:80  # response: 898.85ms
http://161.35.70.249:80  # response: 431.34ms
http://143.42.66.91:80  # response: 960.12ms
